Fiscal Year,State_Abbr,FIPS,State/Territory,Over Payments,Under Payments,Payment Error Rates,Source_Document
2003,AK,02,Alaska,10.84,3.04,13.88,
2004,AK,02,Alaska,4.98,1.98,6.96,
2005,AK,02,Alaska,5.64,0.87,6.51,
2006,AK,02,Alaska,5.25,0.56,5.81,
2007,AK,02,Alaska,2.86,1.19,4.04,
2008,AK,02,Alaska,4.97,2.51,7.48,
2009,AK,02,Alaska,2.29,1.52,3.81,
2010,AK,02,Alaska,2,0.14,2.15,
2011,AK,02,Alaska,0.53,0.24,0.76,
2012,AK,02,Alaska,0.85,0.21,1.07,
2013,AK,02,Alaska,1.21,0.06,1.27,
2014,AK,02,Alaska,0.77,0.13,0.89,
2017,AK,02,Alaska,5.8,1.47,7.27,
2018,AK,02,Alaska,4.66,1.71,6.37,
2019,AK,02,Alaska,9.07,2.12,11.19,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AK,02,Alaska,56.69,0.29,56.97,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AK,02,Alaska,59.59,0.78,60.37,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AL,01,Alabama,6.87,1.14,8.02,
2004,AL,01,Alabama,7.02,0.98,8,
2005,AL,01,Alabama,3.25,0.43,3.68,
2006,AL,01,Alabama,3.05,0.75,3.8,
2007,AL,01,Alabama,3.75,1.03,4.78,
2008,AL,01,Alabama,3.27,0.96,4.23,
2009,AL,01,Alabama,3.03,0.54,3.57,
2010,AL,01,Alabama,3.31,0.44,3.75,
2011,AL,01,Alabama,4.18,0.91,5.1,
2012,AL,01,Alabama,1.62,0.23,1.85,
2013,AL,01,Alabama,1.43,0.27,1.7,
2014,AL,01,Alabama,1.26,0.77,2.03,
2017,AL,01,Alabama,3.15,1.04,4.19,
2018,AL,01,Alabama,3.93,0.66,4.59,
2019,AL,01,Alabama,6.87,0.42,7.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AL,01,Alabama,3.96,0.72,4.68,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AL,01,Alabama,5.44,1.64,7.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AR,05,Arkansas,3.52,0.5,4.02,
2004,AR,05,Arkansas,4.07,1.26,5.34,
2005,AR,05,Arkansas,4.72,0.71,5.43,
2006,AR,05,Arkansas,6.33,0.82,7.15,
2007,AR,05,Arkansas,6.09,0.92,7.01,
2008,AR,05,Arkansas,5.2,0.9,6.1,
2009,AR,05,Arkansas,3.99,0.74,4.74,
2010,AR,05,Arkansas,4.79,0.85,5.64,
2011,AR,05,Arkansas,4.71,1.08,5.79,
2012,AR,05,Arkansas,4.06,0.7,4.76,
2013,AR,05,Arkansas,3.51,0.84,4.34,
2014,AR,05,Arkansas,4.81,0.77,5.58,
2017,AR,05,Arkansas,5.17,1.68,6.85,
2018,AR,05,Arkansas,4.77,0.83,5.6,
2019,AR,05,Arkansas,5.48,0.43,5.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AR,05,Arkansas,10.21,1.1,11.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AR,05,Arkansas,8.76,0.81,9.57,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AZ,04,Arizona,4.71,1.13,5.83,
2004,AZ,04,Arizona,5.12,1.42,6.54,
2005,AZ,04,Arizona,6.02,1.59,7.61,
2006,AZ,04,Arizona,6.84,1.42,8.26,
2007,AZ,04,Arizona,3.73,1.14,4.87,
2008,AZ,04,Arizona,3.24,1.44,4.68,
2009,AZ,04,Arizona,3.57,2.42,5.99,
2010,AZ,04,Arizona,4.93,1.76,6.69,
2011,AZ,04,Arizona,4.65,1.69,6.34,
2012,AZ,04,Arizona,4.27,1.33,5.6,
2013,AZ,04,Arizona,3.99,1.49,5.48,
2014,AZ,04,Arizona,4.07,1.11,5.18,
2015,AZ,04,Arizona,3.7,1.01,4.7,
2017,AZ,04,Arizona,7.55,1.54,9.08,
2018,AZ,04,Arizona,4.95,1.04,5.99,
2019,AZ,04,Arizona,4.41,0.84,5.24,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
