Fiscal Year,State,State_Abbr,FIPS,PAI,Source_Link,
2003,Alabama,AL,01,0.724,https://www.fns.usda.gov/snap/qc/pai,
2003,Alaska,AK,02,0.768,https://www.fns.usda.gov/snap/qc/pai,
2003,Arizona,AZ,04,0.677,https://www.fns.usda.gov/snap/qc/pai,
2003,Arkansas,AR,05,0.669,https://www.fns.usda.gov/snap/qc/pai,
2003,California,CA,06,0.39,https://www.fns.usda.gov/snap/qc/pai,
2003,Colorado,CO,08,0.501,https://www.fns.usda.gov/snap/qc/pai,
2003,Connecticut,CT,09,0.664,https://www.fns.usda.gov/snap/qc/pai,
2003,Delaware,DE,10,0.795,https://www.fns.usda.gov/snap/qc/pai,
2003,District of Columbia,DC,11,0.909,https://www.fns.usda.gov/snap/qc/pai,
2003,Florida,FL,12,0.495,https://www.fns.usda.gov/snap/qc/pai,
2003,Georgia,GA,13,0.777,https://www.fns.usda.gov/snap/qc/pai,
2003,Hawaii,HI,15,0.855,https://www.fns.usda.gov/snap/qc/pai,
2003,Idaho,ID,16,0.625,https://www.fns.usda.gov/snap/qc/pai,
2003,Illinois,IL,17,0.615,https://www.fns.usda.gov/snap/qc/pai,
2003,Indiana,IN,18,0.799,https://www.fns.usda.gov/snap/qc/pai,
2003,Iowa,IA,19,0.604,https://www.fns.usda.gov/snap/qc/pai,
2003,Kansas,KS,20,0.571,https://www.fns.usda.gov/snap/qc/pai,
2003,Kentucky,KY,21,0.875,https://www.fns.usda.gov/snap/qc/pai,
2003,Louisiana,LA,22,0.885,https://www.fns.usda.gov/snap/qc/pai,
2003,Maine,ME,23,0.916,https://www.fns.usda.gov/snap/qc/pai,
2003,Maryland,MD,24,0.525,https://www.fns.usda.gov/snap/qc/pai,
2003,Massachusetts,MA,25,0.472,https://www.fns.usda.gov/snap/qc/pai,
2003,Michigan,MI,26,0.744,https://www.fns.usda.gov/snap/qc/pai,
2003,Minnesota,MN,27,0.641,https://www.fns.usda.gov/snap/qc/pai,
2003,Mississippi,MS,28,0.799,https://www.fns.usda.gov/snap/qc/pai,
2003,Missouri,MO,29,1.035,https://www.fns.usda.gov/snap/qc/pai,
2003,Montana,MT,30,0.561,https://www.fns.usda.gov/snap/qc/pai,
2003,Nebraska,NE,31,0.623,https://www.fns.usda.gov/snap/qc/pai,
2003,Nevada,NV,32,0.478,https://www.fns.usda.gov/snap/qc/pai,
2003,New Hampshire,NH,33,0.623,https://www.fns.usda.gov/snap/qc/pai,
2003,New Jersey,NJ,34,0.468,https://www.fns.usda.gov/snap/qc/pai,
2003,New Mexico,NM,35,0.605,https://www.fns.usda.gov/snap/qc/pai,
2003,New York,NY,36,0.544,https://www.fns.usda.gov/snap/qc/pai,
2003,North Carolina,NC,37,0.523,https://www.fns.usda.gov/snap/qc/pai,
2003,North Dakota,ND,38,0.752,https://www.fns.usda.gov/snap/qc/pai,
2003,Ohio,OH,39,0.719,https://www.fns.usda.gov/snap/qc/pai,
2003,Oklahoma,OK,40,0.966,https://www.fns.usda.gov/snap/qc/pai,
2003,Oregon,OR,41,0.914,https://www.fns.usda.gov/snap/qc/pai,
2003,Pennsylvania,PA,42,0.671,https://www.fns.usda.gov/snap/qc/pai,
2003,Rhode Island,RI,44,0.622,https://www.fns.usda.gov/snap/qc/pai,
2003,South Carolina,SC,45,0.901,https://www.fns.usda.gov/snap/qc/pai,
2003,South Dakota,SD,46,0.673,https://www.fns.usda.gov/snap/qc/pai,
2003,Tennessee,TN,47,0.91,https://www.fns.usda.gov/snap/qc/pai,
2003,Texas,TX,48,0.535,https://www.fns.usda.gov/snap/qc/pai,
2003,Utah,UT,49,0.518,https://www.fns.usda.gov/snap/qc/pai,
2003,Vermont,VT,50,0.801,https://www.fns.usda.gov/snap/qc/pai,
2003,Virginia,VA,51,0.546,https://www.fns.usda.gov/snap/qc/pai,
2003,Washington,WA,53,0.551,https://www.fns.usda.gov/snap/qc/pai,
2003,West Virginia,WV,54,0.805,https://www.fns.usda.gov/snap/qc/pai,
2003,Wisconsin,WI,55,0.586,https://www.fns.usda.gov/snap/qc/pai,
2003,Wyoming,WY,56,0.553,https://www.fns.usda.gov/snap/qc/pai,
2004,Alabama,AL,01,0.654,https://www.fns.usda.gov/snap/qc/pai,
2004,Alaska,AK,02,0.9,https://www.fns.usda.gov/snap/qc/pai,
2004,Arizona,AZ,04,0.662,https://www.fns.usda.gov/snap/qc/pai,
2004,Arkansas,AR,05,0.866,https://www.fns.usda.gov/snap/qc/pai,
2004,California,CA,06,0.421,https://www.fns.usda.gov/snap/qc/pai,
2004,Colorado,CO,08,0.548,https://www.fns.usda.gov/snap/qc/pai,
2004,Connecticut,CT,09,0.571,https://www.fns.usda.gov/snap/qc/pai,
2004,Delaware,DE,10,0.773,https://www.fns.usda.gov/snap/qc/pai,
2004,District of Columbia,DC,11,0.956,https://www.fns.usda.gov/snap/qc/pai,
2004,Florida,FL,12,0.611,https://www.fns.usda.gov/snap/qc/pai,
2004,Georgia,GA,13,0.776,https://www.fns.usda.gov/snap/qc/pai,
2004,Hawaii,HI,15,0.924,https://www.fns.usda.gov/snap/qc/pai,
2004,Idaho,ID,16,0.694,https://www.fns.usda.gov/snap/qc/pai,
2004,Illinois,IL,17,0.715,https://www.fns.usda.gov/snap/qc/pai,
2004,Indiana,IN,18,0.752,https://www.fns.usda.gov/snap/qc/pai,
2004,Iowa,IA,19,0.6,https://www.fns.usda.gov/snap/qc/pai,
2004,Kansas,KS,20,0.567,https://www.fns.usda.gov/snap/qc/pai,
2004,Kentucky,KY,21,0.768,https://www.fns.usda.gov/snap/qc/pai,
2004,Louisiana,LA,22,0.972,https://www.fns.usda.gov/snap/qc/pai,
2004,Maine,ME,23,0.962,https://www.fns.usda.gov/snap/qc/pai,
2004,Maryland,MD,24,0.509,https://www.fns.usda.gov/snap/qc/pai,
2004,Massachusetts,MA,25,0.584,https://www.fns.usda.gov/snap/qc/pai,
2004,Michigan,MI,26,0.738,https://www.fns.usda.gov/snap/qc/pai,
2004,Minnesota,MN,27,0.71,https://www.fns.usda.gov/snap/qc/pai,
2004,Mississippi,MS,28,0.714,https://www.fns.usda.gov/snap/qc/pai,
2004,Missouri,MO,29,1.048,https://www.fns.usda.gov/snap/qc/pai,
2004,Montana,MT,30,0.644,https://www.fns.usda.gov/snap/qc/pai,
2004,Nebraska,NE,31,0.713,https://www.fns.usda.gov/snap/qc/pai,
2004,Nevada,NV,32,0.476,https://www.fns.usda.gov/snap/qc/pai,
2004,New Hampshire,NH,33,0.709,https://www.fns.usda.gov/snap/qc/pai,
2004,New Jersey,NJ,34,0.543,https://www.fns.usda.gov/snap/qc/pai,
2004,New Mexico,NM,35,0.747,https://www.fns.usda.gov/snap/qc/pai,
2004,New York,NY,36,0.579,https://www.fns.usda.gov/snap/qc/pai,
2004,North Carolina,NC,37,0.621,https://www.fns.usda.gov/snap/qc/pai,
2004,North Dakota,ND,38,0.767,https://www.fns.usda.gov/snap/qc/pai,
2004,Ohio,OH,39,0.735,https://www.fns.usda.gov/snap/qc/pai,
2004,Oklahoma,OK,40,1.206,https://www.fns.usda.gov/snap/qc/pai,
2004,Oregon,OR,41,1.012,https://www.fns.usda.gov/snap/qc/pai,
2004,Pennsylvania,PA,42,0.716,https://www.fns.usda.gov/snap/qc/pai,
2004,Rhode Island,RI,44,0.641,https://www.fns.usda.gov/snap/qc/pai,
2004,South Carolina,SC,45,0.821,https://www.fns.usda.gov/snap/qc/pai,
2004,South Dakota,SD,46,0.654,https://www.fns.usda.gov/snap/qc/pai,
2004,Tennessee,TN,47,0.883,https://www.fns.usda.gov/snap/qc/pai,
2004,Texas,TX,48,0.632,https://www.fns.usda.gov/snap/qc/pai,
2004,Utah,UT,49,0.538,https://www.fns.usda.gov/snap/qc/pai,
2004,Vermont,VT,50,0.908,https://www.fns.usda.gov/snap/qc/pai,
2004,Virginia,VA,51,0.677,https://www.fns.usda.gov/snap/qc/pai,
2004,Washington,WA,53,0.673,https://www.fns.usda.gov/snap/qc/pai,
2004,West Virginia,WV,54,1.014,https://www.fns.usda.gov/snap/qc/pai,
2004,Wisconsin,WI,55,0.495,https://www.fns.usda.gov/snap/qc/pai,
2004,Wyoming,WY,56,0.542,https://www.fns.usda.gov/snap/qc/pai,
2005,Alabama,AL,01,0.547,https://www.fns.usda.gov/snap/qc/pai,
2005,Alaska,AK,02,0.595,https://www.fns.usda.gov/snap/qc/pai,
2005,Arizona,AZ,04,0.492,https://www.fns.usda.gov/snap/qc/pai,
2005,Arkansas,AR,05,0.6,https://www.fns.usda.gov/snap/qc/pai,
2005,California,CA,06,0.328,https://www.fns.usda.gov/snap/qc/pai,
2005,Colorado,CO,08,0.347,https://www.fns.usda.gov/snap/qc/pai,
2005,Connecticut,CT,09,0.557,https://www.fns.usda.gov/snap/qc/pai,
2005,Delaware,DE,10,0.567,https://www.fns.usda.gov/snap/qc/pai,
2005,District of Columbia,DC,11,0.729,https://www.fns.usda.gov/snap/qc/pai,
2005,Florida,FL,12,0.408,https://www.fns.usda.gov/snap/qc/pai,
2005,Georgia,GA,13,0.564,https://www.fns.usda.gov/snap/qc/pai,
2005,Hawaii,HI,15,0.603,https://www.fns.usda.gov/snap/qc/pai,
2005,Idaho,ID,16,0.35,https://www.fns.usda.gov/snap/qc/pai,
2005,Illinois,IL,17,0.605,https://www.fns.usda.gov/snap/qc/pai,
2005,Indiana,IN,18,0.569,https://www.fns.usda.gov/snap/qc/pai,
2005,Iowa,IA,19,0.494,https://www.fns.usda.gov/snap/qc/pai,
2005,Kansas,KS,20,0.425,https://www.fns.usda.gov/snap/qc/pai,
2005,Kentucky,KY,21,0.646,https://www.fns.usda.gov/snap/qc/pai,
2005,Louisiana,LA,22,0.637,https://www.fns.usda.gov/snap/qc/pai,
2005,Maine,ME,23,0.723,https://www.fns.usda.gov/snap/qc/pai,
2005,Maryland,MD,24,0.492,https://www.fns.usda.gov/snap/qc/pai,
2005,Massachusetts,MA,25,0.473,https://www.fns.usda.gov/snap/qc/pai,
2005,Michigan,MI,26,0.64,https://www.fns.usda.gov/snap/qc/pai,
2005,Minnesota,MN,27,0.418,https://www.fns.usda.gov/snap/qc/pai,
2005,Mississippi,MS,28,0.473,https://www.fns.usda.gov/snap/qc/pai,
2005,Missouri,MO,29,0.774,https://www.fns.usda.gov/snap/qc/pai,
2005,Montana,MT,30,0.47,https://www.fns.usda.gov/snap/qc/pai,
2005,Nebraska,NE,31,0.454,https://www.fns.usda.gov/snap/qc/pai,
2005,Nevada,NV,32,0.334,https://www.fns.usda.gov/snap/qc/pai,
2005,New Hampshire,NH,33,0.42,https://www.fns.usda.gov/snap/qc/pai,
2005,New Jersey,NJ,34,0.399,https://www.fns.usda.gov/snap/qc/pai,
2005,New Mexico,NM,35,0.523,https://www.fns.usda.gov/snap/qc/pai,
2005,New York,NY,36,0.535,https://www.fns.usda.gov/snap/qc/pai,
2005,North Carolina,NC,37,0.484,https://www.fns.usda.gov/snap/qc/pai,
